iter	Passed	Remaining
0	131	131804
1	133	66574
2	134	44811
3	136	33934
4	137	27422
5	139	23075
6	140	19969
7	142	17656
8	143	15836
9	145	14374
10	146	13185
11	148	12189
12	149	11348
13	150	10620
14	152	10004
15	153	9451
16	155	8972
17	156	8540
18	157	8151
19	159	7802
20	160	7491
21	162	7211
22	163	6949
23	165	6713
24	166	6493
25	168	6324
26	170	6139
27	171	5963
28	173	5793
29	174	5637
30	175	5493
31	177	5356
32	178	5225
33	179	5101
34	181	4996
35	182	4889
36	183	4787
37	185	4698
38	186	4606
39	188	4520
40	189	4440
41	191	4363
42	192	4288
43	194	4217
44	195	4148
45	196	4081
46	198	4016
47	199	3956
48	200	3899
49	202	3842
50	203	3794
51	205	3741
52	206	3691
53	207	3642
54	209	3593
55	210	3551
56	212	3510
57	213	3467
58	214	3426
59	216	3386
60	217	3346
61	218	3311
62	220	3276
63	221	3244
64	223	3211
65	224	3178
66	226	3148
67	226	3109
68	228	3081
69	229	3053
70	231	3026
71	232	3001
72	234	2978
73	235	2952
74	237	2926
75	238	2901
76	240	2879
77	241	2856
78	243	2834
79	244	2810
80	245	2786
81	247	2765
82	248	2746
83	249	2724
84	250	2700
85	252	2681
86	253	2659
87	255	2644
88	256	2626
89	257	2607
90	259	2591
91	260	2573
92	262	2555
93	263	2539
94	264	2524
95	266	2511
96	268	2494
97	269	2480
98	270	2463
99	272	2450
100	273	2437
101	274	2418
102	276	2404
103	277	2391
104	279	2378
105	280	2367
106	282	2355
107	283	2342
108	284	2328
109	286	2315
110	287	2305
111	289	2292
112	290	2280
113	291	2268
114	293	2256
115	294	2243
116	295	2233
117	297	2222
118	298	2210
119	300	2200
120	301	2190
121	303	2182
122	304	2169
123	305	2160
124	307	2152
125	308	2143
126	310	2134
127	311	2122
128	313	2115
129	314	2106
130	316	2100
131	318	2091
132	319	2081
133	320	2072
134	322	2063
135	323	2053
136	324	2046
137	326	2037
138	327	2029
139	329	2021
140	330	2012
141	332	2006
142	333	1998
143	335	1991
144	336	1983
145	337	1974
146	339	1967
147	340	1960
148	342	1953
149	343	1945
150	344	1938
151	346	1931
152	347	1923
153	348	1916
154	350	1908
155	351	1902
156	352	1895
157	354	1888
158	355	1881
159	357	1874
160	358	1868
161	359	1862
162	361	1855
163	362	1849
164	364	1843
165	365	1837
166	366	1830
167	368	1823
168	369	1817
169	371	1811
170	372	1805
171	373	1799
172	375	1793
173	376	1787
174	378	1782
175	379	1777
176	381	1772
177	382	1767
178	384	1761
179	385	1756
180	386	1748
181	387	1741
182	388	1736
183	390	1730
184	391	1725
185	393	1720
186	394	1715
187	396	1710
188	397	1705
189	398	1700
190	400	1695
191	401	1689
192	402	1684
193	404	1679
194	405	1675
195	407	1671
196	408	1666
197	410	1661
198	411	1656
199	412	1651
200	414	1647
201	415	1642
202	417	1638
203	418	1633
204	419	1628
205	421	1623
206	422	1618
207	423	1613
208	425	1608
209	426	1603
210	427	1599
211	429	1594
212	430	1590
213	431	1586
214	433	1581
215	434	1577
216	436	1573
217	437	1569
218	438	1565
219	440	1560
220	441	1556
221	442	1552
222	444	1547
223	445	1543
224	446	1538
225	448	1534
226	449	1531
227	450	1527
228	452	1522
229	453	1518
230	454	1513
231	456	1509
232	457	1506
233	459	1503
234	460	1499
235	462	1495
236	463	1493
237	465	1489
238	466	1486
239	468	1482
240	469	1479
241	471	1475
242	472	1472
243	474	1469
244	475	1465
245	477	1462
246	478	1458
247	479	1455
248	481	1451
249	482	1448
250	484	1444
251	485	1440
252	486	1436
253	488	1433
254	489	1430
255	491	1427
256	492	1424
257	494	1421
258	495	1418
259	496	1414
260	498	1411
261	499	1407
262	501	1404
263	502	1401
264	504	1398
265	505	1395
266	507	1391
267	508	1388
268	509	1385
269	511	1382
270	512	1379
271	514	1376
272	515	1373
273	517	1370
274	518	1366
275	519	1362
276	520	1359
277	522	1356
278	523	1352
279	525	1350
280	526	1346
281	527	1343
282	528	1339
283	529	1336
284	531	1332
285	532	1329
286	533	1326
287	535	1323
288	536	1320
289	538	1317
290	539	1314
291	540	1310
292	541	1307
293	543	1304
294	544	1301
295	546	1299
296	547	1296
297	549	1293
298	550	1290
299	551	1287
300	552	1283
301	554	1280
302	555	1277
303	556	1274
304	558	1271
305	559	1268
306	560	1266
307	562	1262
308	563	1260
309	564	1257
310	566	1254
311	567	1251
312	568	1248
313	570	1245
314	571	1242
315	572	1239
316	574	1236
317	575	1233
318	576	1231
319	577	1228
320	579	1224
321	580	1222
322	581	1218
323	582	1216
324	584	1213
325	585	1211
326	587	1208
327	588	1205
328	589	1202
329	591	1200
330	592	1197
331	593	1193
332	594	1190
333	595	1188
334	597	1185
335	598	1182
336	599	1179
337	601	1177
338	602	1174
339	603	1171
340	605	1169
341	606	1166
342	607	1163
343	608	1161
344	610	1158
345	611	1155
346	613	1153
347	614	1150
348	615	1148
349	616	1145
350	618	1142
351	619	1140
352	620	1137
353	622	1135
354	623	1132
355	624	1130
356	626	1127
357	627	1125
358	628	1122
359	630	1120
360	631	1118
361	632	1115
362	634	1113
363	635	1110
364	637	1108
365	638	1106
366	639	1103
367	641	1101
368	642	1098
369	643	1096
370	645	1094
371	646	1091
372	647	1089
373	649	1086
374	650	1084
375	651	1081
376	653	1079
377	654	1077
378	655	1074
379	657	1072
380	658	1069
381	659	1067
382	661	1065
383	662	1062
384	664	1060
385	665	1058
386	666	1055
387	667	1053
388	669	1051
389	670	1048
390	671	1046
391	673	1044
392	674	1042
393	676	1039
394	677	1037
395	678	1035
396	679	1032
397	681	1030
398	682	1028
399	683	1025
400	685	1023
401	686	1021
402	687	1019
403	689	1016
404	690	1014
405	691	1012
406	693	1010
407	694	1008
408	696	1005
409	697	1003
410	698	1001
411	699	998
412	701	996
413	702	994
414	704	992
415	705	990
416	706	988
417	708	986
418	709	983
419	710	981
420	712	979
421	713	977
422	714	974
423	715	972
424	717	970
425	718	968
426	719	966
427	721	964
428	722	961
429	724	959
430	725	957
431	726	955
432	727	953
433	729	951
434	730	949
435	732	947
436	733	944
437	734	942
438	735	940
439	737	938
440	738	936
441	739	933
442	741	931
443	742	929
444	743	927
445	744	925
446	746	923
447	747	921
448	748	919
449	750	917
450	751	915
451	752	912
452	754	910
453	755	908
454	757	906
455	758	904
456	759	902
457	760	900
458	761	898
459	763	896
460	764	894
461	766	892
462	767	890
463	769	888
464	770	886
465	771	884
466	773	882
467	774	880
468	776	878
469	777	876
470	778	874
471	779	872
472	781	870
473	782	868
474	783	866
475	785	864
476	786	862
477	787	860
478	789	858
479	790	856
480	792	854
481	793	852
482	794	850
483	796	849
484	797	847
485	799	845
486	800	843
487	802	841
488	803	839
489	804	837
490	806	835
491	807	834
492	809	832
493	810	830
494	811	828
495	813	826
496	814	824
497	815	822
498	817	820
499	818	818
500	819	816
501	820	814
502	822	812
503	824	810
504	825	809
505	827	807
506	828	805
507	830	804
508	831	802
509	833	800
510	834	798
511	835	796
512	837	795
513	839	793
514	840	791
515	841	789
516	843	787
517	844	786
518	846	784
519	847	782
520	849	781
521	850	779
522	852	777
523	853	775
524	855	773
525	856	772
526	858	770
527	859	768
528	861	766
529	862	764
530	864	763
531	865	761
532	866	759
533	868	757
534	869	755
535	870	753
536	872	751
537	873	750
538	875	748
539	876	746
540	877	744
541	879	743
542	880	741
543	882	739
544	883	738
545	885	736
546	886	734
547	888	732
548	889	730
549	891	729
550	892	727
551	894	725
552	895	723
553	896	722
554	898	720
555	899	718
556	900	716
557	902	714
558	903	712
559	905	711
560	906	709
561	907	707
562	909	705
563	910	703
564	911	701
565	913	700
566	914	698
567	915	696
568	917	694
569	918	692
570	919	690
571	920	689
572	922	687
573	923	685
574	925	683
575	926	682
576	928	680
577	929	678
578	931	676
579	932	675
580	934	673
581	935	671
582	936	670
583	938	668
584	939	666
585	941	664
586	942	663
587	943	661
588	945	659
589	947	658
590	948	656
591	950	654
592	951	653
593	953	651
594	954	649
595	956	648
596	957	646
597	959	644
598	960	642
599	961	641
600	963	639
601	965	638
602	966	636
603	968	634
604	969	633
605	971	631
606	972	629
607	974	628
608	975	626
609	976	624
610	978	622
611	979	621
612	981	619
613	982	617
614	983	615
615	985	614
616	986	612
617	987	610
618	988	608
619	990	606
620	991	605
621	992	603
622	993	601
623	994	599
624	996	597
625	997	595
626	998	593
627	999	592
628	1000	590
629	1002	588
630	1003	587
631	1005	585
632	1006	583
633	1007	581
634	1009	580
635	1010	578
636	1012	576
637	1013	575
638	1015	573
639	1016	571
640	1017	570
641	1019	568
642	1020	566
643	1022	565
644	1023	563
645	1024	561
646	1025	559
647	1027	558
648	1028	556
649	1030	554
650	1031	552
651	1032	551
652	1034	549
653	1035	547
654	1036	546
655	1038	544
656	1039	542
657	1040	540
658	1042	539
659	1043	537
660	1044	535
661	1046	534
662	1047	532
663	1048	530
664	1050	529
665	1051	527
666	1053	525
667	1054	523
668	1055	522
669	1057	520
670	1058	519
671	1060	517
672	1061	515
673	1062	513
674	1064	512
675	1065	510
676	1066	508
677	1067	507
678	1069	505
679	1070	503
680	1071	501
681	1072	500
682	1073	498
683	1074	496
684	1075	494
685	1077	493
686	1078	491
687	1079	489
688	1080	487
689	1082	486
690	1083	484
691	1084	482
692	1085	481
693	1087	479
694	1088	477
695	1089	476
696	1091	474
697	1092	472
698	1093	471
699	1095	469
700	1096	467
701	1097	466
702	1099	464
703	1100	462
704	1101	461
705	1102	459
706	1103	457
707	1104	455
708	1106	454
709	1107	452
710	1109	450
711	1110	449
712	1111	447
713	1112	445
714	1114	444
715	1115	442
716	1116	440
717	1118	439
718	1119	437
719	1120	435
720	1122	434
721	1123	432
722	1124	430
723	1126	429
724	1127	427
725	1128	426
726	1130	424
727	1131	422
728	1132	421
729	1133	419
730	1135	417
731	1136	416
732	1137	414
733	1139	412
734	1140	411
735	1141	409
736	1142	407
737	1143	406
738	1145	404
739	1146	402
740	1148	401
741	1149	399
742	1150	397
743	1151	396
744	1153	394
745	1154	393
746	1155	391
747	1157	389
748	1158	388
749	1159	386
750	1161	384
751	1162	383
752	1163	381
753	1165	380
754	1166	378
755	1167	376
756	1169	375
757	1170	373
758	1171	372
759	1173	370
760	1174	368
761	1175	367
762	1177	365
763	1178	364
764	1180	362
765	1181	360
766	1183	359
767	1184	357
768	1185	356
769	1187	354
770	1188	353
771	1190	351
772	1191	349
773	1192	348
774	1194	346
775	1195	345
776	1196	343
777	1197	341
778	1199	340
779	1200	338
780	1201	337
781	1203	335
782	1204	333
783	1205	332
784	1207	330
785	1208	329
786	1209	327
787	1210	325
788	1212	324
789	1213	322
790	1214	320
791	1216	319
792	1217	317
793	1218	316
794	1220	314
795	1221	313
796	1223	311
797	1224	309
798	1225	308
799	1227	306
800	1228	305
801	1229	303
802	1230	301
803	1232	300
804	1233	298
805	1234	297
806	1236	295
807	1237	294
808	1238	292
809	1240	290
810	1241	289
811	1243	287
812	1244	286
813	1245	284
814	1247	283
815	1248	281
816	1250	280
817	1251	278
818	1252	276
819	1254	275
820	1255	273
821	1257	272
822	1258	270
823	1259	269
824	1261	267
825	1262	266
826	1264	264
827	1265	262
828	1267	261
829	1268	259
830	1269	258
831	1271	256
832	1272	255
833	1273	253
834	1275	251
835	1276	250
836	1277	248
837	1279	247
838	1280	245
839	1282	244
840	1283	242
841	1284	241
842	1286	239
843	1288	238
844	1289	236
845	1291	235
846	1292	233
847	1293	231
848	1295	230
849	1296	228
850	1297	227
851	1299	225
852	1300	224
853	1302	222
854	1303	221
855	1304	219
856	1306	217
857	1307	216
858	1309	214
859	1310	213
860	1311	211
861	1312	210
862	1314	208
863	1315	207
864	1317	205
865	1318	203
866	1319	202
867	1320	200
868	1322	199
869	1323	197
870	1324	196
871	1326	194
872	1327	193
873	1328	191
874	1330	190
875	1331	188
876	1332	186
877	1334	185
878	1335	183
879	1336	182
880	1338	180
881	1339	179
882	1341	177
883	1342	176
884	1343	174
885	1344	173
886	1346	171
887	1347	169
888	1348	168
889	1350	166
890	1351	165
891	1352	163
892	1354	162
893	1355	160
894	1356	159
895	1358	157
896	1360	156
897	1361	154
898	1362	153
899	1363	151
900	1365	150
901	1366	148
902	1367	146
903	1369	145
904	1370	143
905	1372	142
906	1373	140
907	1374	139
908	1376	137
909	1377	136
910	1378	134
911	1380	133
912	1381	131
913	1382	130
914	1384	128
915	1385	127
916	1386	125
917	1388	124
918	1389	122
919	1390	120
920	1391	119
921	1393	117
922	1394	116
923	1396	114
924	1397	113
925	1399	111
926	1400	110
927	1401	108
928	1403	107
929	1404	105
930	1405	104
931	1407	102
932	1408	101
933	1410	99
934	1411	98
935	1412	96
936	1413	95
937	1415	93
938	1416	92
939	1417	90
940	1419	88
941	1420	87
942	1421	85
943	1423	84
944	1424	82
945	1426	81
946	1427	79
947	1428	78
948	1429	76
949	1431	75
950	1432	73
951	1434	72
952	1435	70
953	1436	69
954	1437	67
955	1439	66
956	1440	64
957	1441	63
958	1442	61
959	1444	60
960	1445	58
961	1446	57
962	1448	55
963	1449	54
964	1450	52
965	1452	51
966	1453	49
967	1454	48
968	1456	46
969	1457	45
970	1458	43
971	1460	42
972	1461	40
973	1462	39
974	1463	37
975	1465	36
976	1466	34
977	1467	33
978	1469	31
979	1470	30
980	1472	28
981	1473	27
982	1474	25
983	1476	24
984	1477	22
985	1478	20
986	1480	19
987	1481	17
988	1482	16
989	1484	14
990	1485	13
991	1486	11
992	1488	10
993	1489	8
994	1490	7
995	1491	5
996	1493	4
997	1494	2
998	1495	1
999	1497	0
