iter	Passed	Remaining
0	1	1798
1	4	2084
2	5	1891
3	7	1759
4	8	1702
5	10	1718
6	11	1697
7	13	1657
8	14	1640
9	16	1606
10	17	1615
11	20	1696
12	22	1723
13	26	1900
14	29	1904
15	30	1900
16	32	1878
17	33	1848
18	35	1828
19	36	1807
20	40	1907
21	43	1912
22	44	1886
23	45	1864
24	47	1843
25	48	1831
26	50	1808
27	51	1788
28	53	1776
29	55	1785
30	56	1775
31	58	1768
32	59	1756
33	61	1748
34	63	1738
35	64	1725
36	65	1713
37	67	1707
38	68	1697
39	70	1686
40	71	1678
41	74	1689
42	75	1683
43	77	1675
44	78	1667
45	79	1657
46	81	1650
47	83	1647
48	84	1640
49	85	1632
50	87	1624
51	88	1616
52	90	1612
53	91	1605
54	93	1600
55	94	1591
56	95	1585
57	97	1580
58	98	1573
59	99	1566
60	101	1557
61	102	1551
62	103	1544
63	105	1538
64	106	1531
65	108	1531
66	109	1526
67	111	1521
68	112	1521
69	114	1517
70	115	1517
71	117	1514
72	118	1510
73	120	1506
74	121	1499
75	123	1495
76	124	1490
77	125	1484
78	127	1482
79	128	1477
80	129	1472
81	131	1466
82	131	1455
83	133	1454
84	134	1451
85	136	1446
86	137	1441
87	138	1437
88	140	1434
89	141	1432
90	143	1430
91	144	1427
92	146	1424
93	147	1420
94	148	1415
95	149	1412
96	151	1407
97	152	1404
98	153	1401
99	155	1399
100	157	1398
101	158	1396
102	160	1394
103	161	1391
104	162	1387
105	164	1385
106	165	1381
107	166	1376
108	168	1374
109	169	1373
110	171	1372
111	172	1368
112	174	1369
113	175	1366
114	177	1364
115	178	1362
116	179	1357
117	181	1354
118	182	1351
119	183	1348
120	185	1346
121	186	1342
122	188	1341
123	189	1339
124	191	1338
125	192	1336
126	193	1333
127	195	1330
128	196	1328
129	198	1325
130	199	1323
131	200	1320
132	202	1319
133	203	1317
134	205	1314
135	206	1313
136	208	1310
137	209	1307
138	210	1305
139	212	1303
140	213	1301
141	214	1297
142	216	1294
143	218	1296
144	219	1294
145	221	1293
146	222	1291
147	223	1289
148	225	1286
149	226	1284
150	228	1285
151	230	1284
152	231	1283
153	233	1280
154	234	1279
155	236	1278
156	237	1277
157	239	1274
158	240	1272
159	241	1270
160	242	1265
161	244	1265
162	246	1263
163	247	1262
164	249	1260
165	250	1257
166	251	1256
167	253	1254
168	254	1252
169	256	1250
170	257	1249
171	259	1247
172	260	1246
173	262	1244
174	263	1241
175	264	1238
176	266	1237
177	267	1236
178	269	1234
179	270	1232
180	271	1230
181	273	1230
182	275	1228
183	276	1226
184	277	1224
185	279	1222
186	280	1220
187	282	1218
188	283	1216
189	284	1214
190	286	1212
191	287	1210
192	288	1208
193	290	1206
194	291	1204
195	293	1202
196	294	1200
197	296	1199
198	297	1197
199	298	1195
200	300	1194
201	301	1192
202	303	1190
203	304	1189
204	306	1189
205	308	1187
206	309	1185
207	310	1183
208	312	1181
209	313	1180
210	315	1178
211	316	1175
212	318	1175
213	319	1173
214	321	1172
215	322	1170
216	323	1168
217	325	1166
218	326	1164
219	327	1162
220	329	1160
221	330	1158
222	332	1157
223	333	1156
224	335	1154
225	336	1152
226	337	1150
227	339	1148
228	340	1146
229	341	1144
230	343	1143
231	344	1141
232	346	1140
233	347	1139
234	349	1137
235	351	1136
236	352	1134
237	353	1132
238	355	1130
239	356	1128
240	357	1126
241	359	1125
242	360	1123
243	362	1121
244	363	1120
245	364	1118
246	366	1116
247	367	1114
248	369	1113
249	370	1111
250	371	1109
251	373	1107
252	374	1105
253	376	1104
254	377	1102
255	378	1100
256	380	1099
257	381	1097
258	383	1096
259	384	1094
260	385	1092
261	387	1091
262	388	1089
263	390	1088
264	391	1086
265	393	1084
266	394	1083
267	395	1080
268	397	1079
269	398	1077
270	399	1075
271	401	1073
272	402	1071
273	403	1069
274	405	1068
275	406	1067
276	408	1066
277	409	1064
278	411	1062
279	412	1060
280	413	1058
281	415	1056
282	416	1055
283	417	1053
284	419	1051
285	420	1050
286	421	1048
287	423	1046
288	424	1045
289	426	1043
290	427	1042
291	429	1040
292	430	1038
293	431	1036
294	433	1035
295	435	1034
296	436	1033
297	438	1031
298	439	1030
299	440	1028
300	442	1027
301	443	1025
302	444	1023
303	446	1021
304	447	1019
305	449	1018
306	450	1016
307	451	1015
308	453	1013
309	454	1011
310	455	1010
311	457	1008
312	458	1006
313	460	1005
314	461	1003
315	462	1001
316	464	1000
317	465	998
318	466	996
319	468	995
320	469	993
321	470	991
322	472	989
323	473	988
324	475	986
325	476	985
326	478	984
327	479	983
328	481	981
329	482	980
330	484	978
331	485	976
332	486	974
333	487	973
334	489	971
335	490	969
336	492	968
337	493	966
338	495	965
339	496	963
340	497	962
341	499	960
342	500	959
343	501	957
344	503	955
345	504	953
346	505	951
347	507	950
348	508	948
349	510	947
350	511	946
351	513	944
352	514	943
353	516	941
354	517	940
355	519	939
356	520	937
357	522	936
358	523	935
359	525	934
360	527	933
361	528	932
362	530	930
363	531	928
364	533	927
365	534	925
366	535	924
367	537	922
368	538	921
369	540	919
370	541	918
371	543	917
372	544	915
373	545	913
374	547	912
375	548	910
376	549	908
377	550	906
378	552	905
379	553	903
380	555	901
381	556	900
382	557	898
383	558	896
384	560	894
385	561	893
386	563	891
387	564	890
388	566	889
389	567	888
390	569	886
391	570	884
392	571	883
393	573	881
394	574	879
395	575	877
396	576	876
397	578	874
398	579	873
399	581	871
400	582	870
401	583	868
402	585	867
403	586	865
404	588	864
405	589	862
406	591	861
407	592	859
408	594	858
409	595	856
410	596	855
411	598	853
412	599	852
413	601	850
414	602	849
415	603	847
416	605	846
417	606	844
418	607	842
419	609	841
420	610	839
421	612	838
422	613	836
423	614	835
424	616	833
425	617	832
426	618	830
427	620	828
428	621	827
429	623	826
430	624	824
431	626	823
432	627	821
433	629	820
434	630	818
435	631	817
436	633	815
437	634	814
438	636	812
439	637	811
440	638	809
441	640	808
442	641	807
443	643	806
444	645	804
445	646	803
446	648	801
447	649	800
448	651	798
449	652	797
450	653	795
451	655	794
452	656	792
453	658	791
454	659	790
455	661	788
456	662	787
457	664	786
458	665	784
459	667	783
460	668	781
461	670	780
462	671	778
463	672	777
464	674	775
465	675	774
466	676	772
467	678	770
468	679	769
469	680	767
470	682	766
471	683	764
472	684	763
473	686	761
474	687	760
475	689	759
476	690	757
477	691	755
478	693	754
479	694	752
480	695	750
481	697	749
482	698	748
483	700	747
484	702	745
485	703	744
486	705	742
487	706	741
488	708	739
489	709	738
490	710	736
491	712	735
492	713	734
493	715	732
494	716	731
495	717	729
496	719	727
497	720	726
498	722	725
499	723	723
500	724	722
501	726	720
502	728	719
503	729	717
504	731	716
505	732	715
506	733	713
507	735	712
508	736	710
509	738	709
510	739	707
511	741	706
512	743	705
513	744	704
514	745	702
515	747	701
516	748	699
517	750	698
518	752	696
519	753	695
520	754	693
521	756	692
522	758	691
523	759	689
524	760	688
525	762	687
526	764	686
527	765	684
528	767	683
529	768	681
530	771	681
531	772	679
532	774	678
533	775	677
534	777	675
535	779	674
536	780	672
537	782	671
538	783	670
539	785	669
540	787	667
541	788	666
542	790	665
543	792	664
544	793	662
545	795	661
546	796	659
547	797	658
548	799	656
549	801	655
550	802	654
551	804	652
552	805	651
553	807	649
554	808	648
555	810	646
556	811	645
557	812	643
558	814	642
559	815	640
560	817	639
561	818	638
562	820	636
563	821	635
564	823	633
565	824	632
566	826	630
567	827	629
568	829	628
569	830	626
570	832	625
571	833	623
572	835	622
573	837	621
574	838	619
575	840	618
576	841	617
577	843	615
578	845	614
579	846	613
580	848	611
581	849	610
582	851	608
583	852	607
584	854	605
585	855	604
586	856	602
587	858	601
588	860	600
589	861	598
590	862	597
591	864	595
592	865	594
593	867	592
594	868	591
595	870	589
596	871	588
597	873	586
598	874	585
